"Simulation step","vehicle id","vehicle color","vehicle speed","vehicle is on edge","edge congestion status","edge average speed","edge density"
"36.0","1768309755362_0_0","WHITE","53.00","-E13","false","53.00","16.97"
"37.0","1768309755362_0_0","WHITE","49.99","-E13","false","45.72","33.93"
"37.0","1768309755362_1_1","BLUE","41.46","-E13","false","45.72","33.93"
"38.0","1768309755362_0_0","WHITE","52.56","-E13","false","40.23","50.90"
"38.0","1768309755362_1_1","BLUE","39.14","-E13","false","40.23","50.90"
"38.0","1768309755362_2_2","BLUE","29.01","-E13","false","40.23","50.90"
"39.0","1768309755362_0_0","WHITE","45.90","-E13","false","37.77","50.90"
"39.0","1768309755362_1_1","BLUE","42.67","-E13","false","37.77","50.90"
"39.0","1768309755362_2_2","BLUE","24.74","-E13","false","37.77","50.90"
"40.0","1768309755362_0_0","WHITE","29.70","-E13","false","33.65","67.87"
"40.0","1768309755362_1_1","BLUE","43.34","-E13","false","33.65","67.87"
"40.0","1768309755362_2_2","BLUE","31.35","-E13","false","33.65","67.87"
"40.0","1768309755362_3_3","RED","30.22","-E13","false","33.65","67.87"
"41.0","1768309755362_0_0","WHITE","39.05",":J15_1","false","39.05","88.34"
"41.0","1768309755362_1_1","BLUE","27.14","-E13","false","30.31","50.90"
"41.0","1768309755362_2_2","BLUE","37.10","-E13","false","30.31","50.90"
"41.0","1768309755362_3_3","RED","26.68","-E13","false","30.31","50.90"
"42.0","1768309755362_0_0","WHITE","47.02","-E12","false","47.02","13.63"
"42.0","1768309755362_1_1","BLUE","25.47","-E13","false","29.22","67.87"
"42.0","1768309755362_2_2","BLUE","28.38","-E13","false","29.22","67.87"
"42.0","1768309755362_3_3","RED","31.60","-E13","false","29.22","67.87"
"42.0","1768309755362_4_4","RED","31.44","-E13","false","29.22","67.87"
"43.0","1768309755362_0_0","WHITE","52.25","-E12","false","52.25","13.63"
"43.0","1768309755362_1_1","BLUE","32.27",":J15_1","false","32.27","88.34"
"43.0","1768309755362_2_2","BLUE","25.44","-E13","false","25.62","67.87"
"43.0","1768309755362_3_3","RED","31.51","-E13","false","25.62","67.87"
"43.0","1768309755362_4_4","RED","29.57","-E13","false","25.62","67.87"
"43.0","1768309755362_5_5","WHITE","15.94","-E13","false","25.62","67.87"
"44.0","1768309755362_0_0","WHITE","48.47","-E12","false","44.90","27.25"
"44.0","1768309755362_1_1","BLUE","41.32","-E12","false","44.90","27.25"
"44.0","1768309755362_2_2","BLUE","30.73","-E13","false","25.10","67.87"
"44.0","1768309755362_3_3","RED","26.19","-E13","false","25.10","67.87"
"44.0","1768309755362_4_4","RED","31.12","-E13","false","25.10","67.87"
"44.0","1768309755362_5_5","WHITE","12.36","-E13","false","25.10","67.87"
"44.0","1768309757006_0_0","GREEN","53.25","-E19","false","53.25","8.63"
"45.0","1768309755362_0_0","WHITE","50.08","-E12","false","47.59","27.25"
"45.0","1768309755362_1_1","BLUE","45.10","-E12","false","47.59","27.25"
"45.0","1768309755362_2_2","BLUE","36.14",":J15_1","false","36.14","88.34"
"45.0","1768309755362_3_3","RED","28.40","-E13","false","19.17","67.87"
"45.0","1768309755362_4_4","RED","22.92","-E13","false","19.17","67.87"
"45.0","1768309755362_5_5","WHITE","18.74","-E13","false","19.17","67.87"
"45.0","1768309755362_6_6","WHITE","6.62","-E13","false","19.17","67.87"
"45.0","1768309757006_0_0","GREEN","48.59","-E19","false","44.09","17.27"
"45.0","1768309757006_1_1","BLUE","39.59","-E19","false","44.09","17.27"
"46.0","1768309755362_0_0","WHITE","43.41","-E12","false","44.91","40.88"
"46.0","1768309755362_1_1","BLUE","46.76","-E12","false","44.91","40.88"
"46.0","1768309755362_2_2","BLUE","44.56","-E12","false","44.91","40.88"
"46.0","1768309755362_3_3","RED","31.19","-E13","false","21.68","67.87"
"46.0","1768309755362_4_4","RED","28.87","-E13","false","21.68","67.87"
"46.0","1768309755362_5_5","WHITE","21.52","-E13","false","21.68","67.87"
"46.0","1768309755362_6_6","WHITE","5.16","-E13","false","21.68","67.87"
"46.0","1768309757006_0_0","GREEN","49.86","-E19","false","37.82","25.90"
"46.0","1768309757006_1_1","BLUE","37.32","-E19","false","37.82","25.90"
"46.0","1768309757006_2_2","BLUE","26.27","-E19","false","37.82","25.90"
