"Simulation step","vehicle id","vehicle color","vehicle speed","vehicle is on edge","edge congestion status","edge average speed","edge density"
"320.0","1768347560187_0_0","BLACK","95.40","-E23","false","87.04","18.17"
"320.0","1768347560187_2_2","BLACK","90.94","-E23","false","87.04","18.17"
"320.0","1768347560187_5_5","WHITE","74.79","-E23","false","87.04","18.17"
"321.0","1768347560187_0_0","BLACK","91.59","-E23","false","81.28","36.35"
"321.0","1768347560187_1_1","BLACK","84.45","-E23","false","81.28","36.35"
"321.0","1768347560187_2_12","BLUE","65.72","-E23","false","81.28","36.35"
"321.0","1768347560187_2_2","BLACK","89.67","-E23","false","81.28","36.35"
"321.0","1768347560187_3_3","BLACK","85.17","-E23","false","81.28","36.35"
"321.0","1768347560187_5_5","WHITE","71.12","-E23","false","81.28","36.35"
"322.0","1768347560187_0_0","BLACK","91.09","-E23","false","76.81","54.52"
"322.0","1768347560187_1_1","BLACK","82.44","-E23","false","76.81","54.52"
"322.0","1768347560187_2_12","BLUE","62.16","-E23","false","76.81","54.52"
"322.0","1768347560187_2_2","BLACK","88.28","-E23","false","76.81","54.52"
"322.0","1768347560187_3_13","BLUE","77.80","-E23","false","76.81","54.52"
"322.0","1768347560187_3_3","BLACK","82.83","-E23","false","76.81","54.52"
"322.0","1768347560187_4_4","BLACK","77.33","-E23","false","76.81","54.52"
"322.0","1768347560187_5_15","GREEN","55.41","-E23","false","76.81","54.52"
"322.0","1768347560187_5_5","WHITE","73.99","-E23","false","76.81","54.52"
"323.0","1768347560187_0_0","BLACK","91.67","-E23","false","72.10","72.70"
"323.0","1768347560187_1_1","BLACK","81.30","-E23","false","72.10","72.70"
"323.0","1768347560187_2_12","BLUE","68.98","-E23","false","72.10","72.70"
"323.0","1768347560187_2_2","BLACK","90.90","-E23","false","72.10","72.70"
"323.0","1768347560187_2_22","GREEN","68.07","-E23","false","72.10","72.70"
"323.0","1768347560187_3_13","BLUE","73.47","-E23","false","72.10","72.70"
"323.0","1768347560187_3_3","BLACK","73.99","-E23","false","72.10","72.70"
"323.0","1768347560187_4_4","BLACK","74.23","-E23","false","72.10","72.70"
"323.0","1768347560187_5_15","GREEN","53.77","-E23","false","72.10","72.70"
"323.0","1768347560187_5_25","RED","46.49","-E23","false","72.10","72.70"
"323.0","1768347560187_5_5","WHITE","73.53","-E23","false","72.10","72.70"
"323.0","1768347560187_6_6","WHITE","68.83","-E23","false","72.10","72.70"
"324.0","1768347560187_0_0","BLACK","89.62","-E23","false","66.39","90.87"
"324.0","1768347560187_1_1","BLACK","83.20","-E23","false","66.39","90.87"
"324.0","1768347560187_2_12","BLUE","67.71","-E23","false","66.39","90.87"
"324.0","1768347560187_2_2","BLACK","86.62","-E23","false","66.39","90.87"
"324.0","1768347560187_2_22","GREEN","64.60","-E23","false","66.39","90.87"
"324.0","1768347560187_2_32","BLACK","36.26","-E23","false","66.39","90.87"
"324.0","1768347560187_3_13","BLUE","68.86","-E23","false","66.39","90.87"
"324.0","1768347560187_3_23","BLACK","57.85","-E23","false","66.39","90.87"
"324.0","1768347560187_3_3","BLACK","65.78","-E23","false","66.39","90.87"
"324.0","1768347560187_4_4","BLACK","73.99","-E23","false","66.39","90.87"
"324.0","1768347560187_5_15","GREEN","58.54","-E23","false","66.39","90.87"
"324.0","1768347560187_5_25","RED","45.26","-E23","false","66.39","90.87"
"324.0","1768347560187_5_5","WHITE","71.04","-E23","false","66.39","90.87"
"324.0","1768347560187_6_6","WHITE","66.41","-E23","false","66.39","90.87"
"324.0","1768347560187_7_7","WHITE","60.06","-E23","false","66.39","90.87"
"325.0","1768347560187_0_0","BLACK","73.66","-E23","false","60.01","109.04"
"325.0","1768347560187_1_1","BLACK","83.89","-E23","false","60.01","109.04"
"325.0","1768347560187_2_12","BLUE","69.14","-E23","false","60.01","109.04"
"325.0","1768347560187_2_2","BLACK","86.30","-E23","false","60.01","109.04"
"325.0","1768347560187_2_22","GREEN","58.54","-E23","false","60.01","109.04"
"325.0","1768347560187_2_32","BLACK","33.98","-E23","false","60.01","109.04"
"325.0","1768347560187_3_13","BLUE","60.64","-E23","false","60.01","109.04"
"325.0","1768347560187_3_23","BLACK","54.80","-E23","false","60.01","109.04"
"325.0","1768347560187_3_3","BLACK","64.85","-E23","false","60.01","109.04"
"325.0","1768347560187_3_33","WHITE","47.86","-E23","false","60.01","109.04"
"325.0","1768347560187_4_4","BLACK","65.78","-E23","false","60.01","109.04"
"325.0","1768347560187_5_15","GREEN","61.84","-E23","false","60.01","109.04"
"325.0","1768347560187_5_25","RED","49.58","-E23","false","60.01","109.04"
"325.0","1768347560187_5_35","RED","21.28","-E23","false","60.01","109.04"
"325.0","1768347560187_5_5","WHITE","71.58","-E23","false","60.01","109.04"
"325.0","1768347560187_6_6","WHITE","68.86","-E23","false","60.01","109.04"
"325.0","1768347560187_7_7","WHITE","57.16","-E23","false","60.01","109.04"
"325.0","1768347560187_8_8","WHITE","50.41","-E23","false","60.01","109.04"
"326.0","1768347560187_0_0","BLACK","57.46","-E23","false","56.60","121.16"
"326.0","1768347560187_1_1","BLACK","71.00","-E23","false","56.60","121.16"
"326.0","1768347560187_2_12","BLUE","67.16","-E23","false","56.60","121.16"
"326.0","1768347560187_2_2","BLACK","90.29","-E23","false","56.60","121.16"
"326.0","1768347560187_2_22","GREEN","57.74","-E23","false","56.60","121.16"
"326.0","1768347560187_2_32","BLACK","42.49","-E23","false","56.60","121.16"
"326.0","1768347560187_2_42","RED","38.28","-E23","false","56.60","121.16"
"326.0","1768347560187_3_13","BLUE","58.80","-E23","false","56.60","121.16"
"326.0","1768347560187_3_23","BLACK","51.01","-E23","false","56.60","121.16"
"326.0","1768347560187_3_3","BLACK","66.63","-E23","false","56.60","121.16"
"326.0","1768347560187_3_33","WHITE","47.28","-E23","false","56.60","121.16"
"326.0","1768347560187_4_4","BLACK","64.85","-E23","false","56.60","121.16"
"326.0","1768347560187_5_15","GREEN","68.06","-E23","false","56.60","121.16"
"326.0","1768347560187_5_25","RED","55.23","-E23","false","56.60","121.16"
"326.0","1768347560187_5_35","RED","17.34","-E23","false","56.60","121.16"
"326.0","1768347560187_5_5","WHITE","72.17","-E23","false","56.60","121.16"
"326.0","1768347560187_6_6","WHITE","60.20","-E23","false","56.60","121.16"
"326.0","1768347560187_7_7","WHITE","60.71","-E23","false","56.60","121.16"
"326.0","1768347560187_8_8","WHITE","47.19","-E23","false","56.60","121.16"
"326.0","1768347560187_9_9","RED","38.19","-E23","false","56.60","121.16"
"327.0","1768347560187_0_0","BLACK","42.97","-E23","false","49.55","133.28"
"327.0","1768347560187_0_10","RED","21.18","-E23","false","49.55","133.28"
"327.0","1768347560187_1_1","BLACK","56.51","-E23","false","49.55","133.28"
"327.0","1768347560187_2_12","BLUE","69.32","-E23","false","49.55","133.28"
"327.0","1768347560187_2_22","GREEN","56.60","-E23","false","49.55","133.28"
"327.0","1768347560187_2_32","BLACK","47.88","-E23","false","49.55","133.28"
"327.0","1768347560187_2_42","RED","34.40","-E23","false","49.55","133.28"
"327.0","1768347560187_3_13","BLUE","64.75","-E23","false","49.55","133.28"
"327.0","1768347560187_3_23","BLACK","55.19","-E23","false","49.55","133.28"
"327.0","1768347560187_3_3","BLACK","68.21","-E23","false","49.55","133.28"
"327.0","1768347560187_3_33","WHITE","43.46","-E23","false","49.55","133.28"
"327.0","1768347560187_3_43","GREEN","21.89","-E23","false","49.55","133.28"
"327.0","1768347560187_4_4","BLACK","73.98","-E23","false","49.55","133.28"
"327.0","1768347560187_5_15","GREEN","66.41","-E23","false","49.55","133.28"
"327.0","1768347560187_5_25","RED","63.35","-E23","false","49.55","133.28"
"327.0","1768347560187_5_35","RED","25.15","-E23","false","49.55","133.28"
"327.0","1768347560187_5_45","WHITE","20.32","-E23","false","49.55","133.28"
"327.0","1768347560187_5_5","WHITE","55.97","-E23","false","49.55","133.28"
"327.0","1768347560187_6_6","WHITE","58.80","-E23","false","49.55","133.28"
"327.0","1768347560187_7_7","WHITE","55.99","-E23","false","49.55","133.28"
"327.0","1768347560187_8_8","WHITE","53.90","-E23","false","49.55","133.28"
"327.0","1768347560187_9_9","RED","33.92","-E23","false","49.55","133.28"
"328.0","1768347560187_0_0","BLACK","26.77","-E23","false","46.74","133.28"
"328.0","1768347560187_0_10","RED","18.34","-E23","false","46.74","133.28"
"328.0","1768347560187_1_1","BLACK","44.20","-E23","false","46.74","133.28"
"328.0","1768347560187_2_12","BLUE","54.80","-E23","false","46.74","133.28"
"328.0","1768347560187_2_22","GREEN","61.16","-E23","false","46.74","133.28"
"328.0","1768347560187_2_32","BLACK","56.00","-E23","false","46.74","133.28"
"328.0","1768347560187_2_42","RED","35.57","-E23","false","46.74","133.28"
"328.0","1768347560187_3_13","BLUE","65.64","-E23","false","46.74","133.28"
"328.0","1768347560187_3_23","BLACK","51.81","-E23","false","46.74","133.28"
"328.0","1768347560187_3_3","BLACK","52.01","-E23","false","46.74","133.28"
"328.0","1768347560187_3_33","WHITE","51.55","-E23","false","46.74","133.28"
"328.0","1768347560187_3_43","GREEN","18.90","-E23","false","46.74","133.28"
"328.0","1768347560187_4_4","BLACK","58.70","-E23","false","46.74","133.28"
"328.0","1768347560187_5_15","GREEN","65.09","-E23","false","46.74","133.28"
"328.0","1768347560187_5_25","RED","65.35","-E23","false","46.74","133.28"
"328.0","1768347560187_5_35","RED","31.41","-E23","false","46.74","133.28"
"328.0","1768347560187_5_45","WHITE","19.14","-E23","false","46.74","133.28"
"328.0","1768347560187_5_5","WHITE","44.06","-E23","false","46.74","133.28"
"328.0","1768347560187_6_6","WHITE","63.64","-E23","false","46.74","133.28"
"328.0","1768347560187_7_7","WHITE","53.12","-E23","false","46.74","133.28"
"328.0","1768347560187_8_8","WHITE","51.97","-E23","false","46.74","133.28"
"328.0","1768347560187_9_9","RED","38.95","-E23","false","46.74","133.28"
"329.0","1768347560187_0_0","BLACK","19.56",":J16_0","false","19.56","110.62"
"329.0","1768347560187_0_10","RED","26.28","-E23","false","43.03","145.39"
"329.0","1768347560187_1_1","BLACK","30.94","-E23","false","43.03","145.39"
"329.0","1768347560187_1_11","BLUE","21.95","-E23","false","43.03","145.39"
"329.0","1768347560187_2_12","BLUE","44.05","-E23","false","43.03","145.39"
"329.0","1768347560187_2_22","GREEN","62.13","-E23","false","43.03","145.39"
"329.0","1768347560187_2_32","BLACK","61.07","-E23","false","43.03","145.39"
"329.0","1768347560187_2_42","RED","41.33","-E23","false","43.03","145.39"
"329.0","1768347560187_2_52","BLACK","23.71","-E23","false","43.03","145.39"
"329.0","1768347560187_3_13","BLUE","51.13","-E23","false","43.03","145.39"
"329.0","1768347560187_3_23","BLACK","57.96","-E23","false","43.03","145.39"
"329.0","1768347560187_3_3","BLACK","47.29","-E23","false","43.03","145.39"
"329.0","1768347560187_3_33","WHITE","49.24","-E23","false","43.03","145.39"
"329.0","1768347560187_3_43","GREEN","27.76","-E23","false","43.03","145.39"
"329.0","1768347560187_4_4","BLACK","45.64","-E23","false","43.03","145.39"
"329.0","1768347560187_5_15","GREEN","52.28","-E23","false","43.03","145.39"
"329.0","1768347560187_5_25","RED","64.75","-E23","false","43.03","145.39"
"329.0","1768347560187_5_35","RED","37.64","-E23","false","43.03","145.39"
"329.0","1768347560187_5_45","WHITE","24.34","-E23","false","43.03","145.39"
"329.0","1768347560187_5_5","WHITE","27.86","-E23","false","43.03","145.39"
"329.0","1768347560187_5_55","WHITE","20.41","-E23","false","43.03","145.39"
"329.0","1768347560187_6_6","WHITE","57.23","-E23","false","43.03","145.39"
"329.0","1768347560187_7_7","WHITE","60.28","-E23","false","43.03","145.39"
"329.0","1768347560187_8_8","WHITE","49.92","-E23","false","43.03","145.39"
"329.0","1768347560187_9_9","RED","47.61","-E23","false","43.03","145.39"
"330.0","1768347560187_0_0","BLACK","21.31",":J16_0","false","21.31","110.62"
"330.0","1768347560187_0_10","RED","33.95","-E23","false","40.82","139.33"
"330.0","1768347560187_1_1","BLACK","18.08","-E23","false","40.82","139.33"
"330.0","1768347560187_1_11","BLUE","21.78","-E23","false","40.82","139.33"
"330.0","1768347560187_2_12","BLUE","27.85","-E23","false","40.82","139.33"
"330.0","1768347560187_2_22","GREEN","51.20","-E23","false","40.82","139.33"
"330.0","1768347560187_2_32","BLACK","63.55","-E23","false","40.82","139.33"
"330.0","1768347560187_2_42","RED","46.52","-E23","false","40.82","139.33"
"330.0","1768347560187_2_52","BLACK","20.84","-E23","false","40.82","139.33"
"330.0","1768347560187_3_13","BLUE","46.63","-E23","false","40.82","139.33"
"330.0","1768347560187_3_23","BLACK","61.52","-E23","false","40.82","139.33"
"330.0","1768347560187_3_3","BLACK","31.83","-E23","false","40.82","139.33"
"330.0","1768347560187_3_33","WHITE","51.99","-E23","false","40.82","139.33"
"330.0","1768347560187_3_43","GREEN","34.96","-E23","false","40.82","139.33"
"330.0","1768347560187_4_4","BLACK","36.57","-E23","false","40.82","139.33"
"330.0","1768347560187_5_15","GREEN","43.12","-E23","false","40.82","139.33"
"330.0","1768347560187_5_25","RED","49.45","-E23","false","40.82","139.33"
"330.0","1768347560187_5_35","RED","42.86","-E23","false","40.82","139.33"
"330.0","1768347560187_5_45","WHITE","30.36","-E23","false","40.82","139.33"
"330.0","1768347560187_5_5","WHITE","33.10",":J16_1","false","54.06","84.89"
"330.0","1768347560187_5_55","WHITE","20.38","-E23","false","40.82","139.33"
"330.0","1768347560187_6_6","WHITE","46.55","-E23","false","40.82","139.33"
"330.0","1768347560187_7_7","WHITE","54.32","-E23","false","40.82","139.33"
"330.0","1768347560187_8_8","WHITE","54.86","-E23","false","40.82","139.33"
"330.0","1768347560187_9_9","RED","49.70","-E23","false","40.82","139.33"
"331.0","1768347560187_0_0","BLACK","21.97","-E13","false","21.97","16.97"
"331.0","1768347560187_0_10","RED","43.00","-E23","false","37.27","157.51"
"331.0","1768347560187_1_1","BLACK","17.59","-E23","false","37.27","157.51"
"331.0","1768347560187_1_11","BLUE","28.65","-E23","false","37.27","157.51"
"331.0","1768347560187_2_12","BLUE","34.48","-E23","false","37.27","157.51"
"331.0","1768347560187_2_22","GREEN","44.74","-E23","false","37.27","157.51"
"331.0","1768347560187_2_32","BLACK","48.85","-E23","false","37.27","157.51"
"331.0","1768347560187_2_42","RED","51.75","-E23","false","37.27","157.51"
"331.0","1768347560187_2_52","BLACK","28.33","-E23","false","37.27","157.51"
"331.0","1768347560187_2_62","GREEN","23.89","-E23","false","37.27","157.51"
"331.0","1768347560187_3_13","BLUE","31.51","-E23","false","37.27","157.51"
"331.0","1768347560187_3_23","BLACK","49.45","-E23","false","37.27","157.51"
"331.0","1768347560187_3_3","BLACK","17.41","-E23","false","37.27","157.51"
"331.0","1768347560187_3_33","WHITE","59.98","-E23","false","37.27","157.51"
"331.0","1768347560187_3_43","GREEN","40.37","-E23","false","37.27","157.51"
"331.0","1768347560187_3_53","GREEN","25.25","-E23","false","37.27","157.51"
"331.0","1768347560187_4_14","BLACK","26.04","-E23","false","37.27","157.51"
