"Simulation step","vehicle id","vehicle color","vehicle speed","vehicle is on edge","edge congestion status","edge average speed","edge density"
"33.0","1768341595749_0_0","RED","95.40","-E23","false","90.26","18.17"
"33.0","1768341595749_1_1","BLACK","84.45","-E23","false","90.26","18.17"
"33.0","1768341595749_2_2","RED","90.94","-E23","false","90.26","18.17"
"34.0","1768341595749_0_0","RED","94.13","-E23","false","83.64","36.35"
"34.0","1768341595749_0_10","BLUE","89.63","-E23","false","83.64","36.35"
"34.0","1768341595749_1_1","BLACK","80.77","-E23","false","83.64","36.35"
"34.0","1768341595749_2_2","RED","87.13","-E23","false","83.64","36.35"
"34.0","1768341595749_3_3","RED","75.37","-E23","false","83.64","36.35"
"34.0","1768341595749_5_5","RED","74.79","-E23","false","83.64","36.35"
"35.0","1768341595749_0_0","RED","92.75","-E23","false","79.05","54.52"
"35.0","1768341595749_0_10","BLUE","87.29","-E23","false","79.05","54.52"
"35.0","1768341595749_0_20","BLUE","82.79","-E23","false","79.05","54.52"
"35.0","1768341595749_1_1","BLACK","83.64","-E23","false","79.05","54.52"
"35.0","1768341595749_2_2","RED","86.62","-E23","false","79.05","54.52"
"35.0","1768341595749_3_3","RED","71.82","-E23","false","79.05","54.52"
"35.0","1768341595749_4_4","WHITE","66.42","-E23","false","79.05","54.52"
"35.0","1768341595749_5_5","RED","72.78","-E23","false","79.05","54.52"
"35.0","1768341595749_6_6","BLACK","67.38","-E23","false","79.05","54.52"
"36.0","1768341595749_0_0","RED","95.36","-E23","false","74.70","72.70"
"36.0","1768341595749_0_10","BLUE","83.64","-E23","false","74.70","72.70"
"36.0","1768341595749_0_20","BLUE","78.47","-E23","false","74.70","72.70"
"36.0","1768341595749_0_30","RED","73.07","-E23","false","74.70","72.70"
"36.0","1768341595749_1_1","BLACK","83.18","-E23","false","74.70","72.70"
"36.0","1768341595749_2_2","RED","87.21","-E23","false","74.70","72.70"
"36.0","1768341595749_3_3","RED","79.16","-E23","false","74.70","72.70"
"36.0","1768341595749_4_4","WHITE","64.78","-E23","false","74.70","72.70"
"36.0","1768341595749_5_5","RED","71.64","-E23","false","74.70","72.70"
"36.0","1768341595749_6_6","BLACK","64.29","-E23","false","74.70","72.70"
"36.0","1768341595749_7_7","BLUE","57.54","-E23","false","74.70","72.70"
"36.0","1768341595749_8_8","BLUE","58.03","-E23","false","74.70","72.70"
"37.0","1768341595749_0_0","RED","85.07","-E23","false","69.91","90.87"
"37.0","1768341595749_0_10","BLUE","83.18","-E23","false","69.91","90.87"
"37.0","1768341595749_0_20","BLUE","78.94","-E23","false","69.91","90.87"
"37.0","1768341595749_0_30","RED","69.60","-E23","false","69.91","90.87"
"37.0","1768341595749_0_40","RED","64.05","-E23","false","69.91","90.87"
"37.0","1768341595749_1_1","BLACK","80.70","-E23","false","69.91","90.87"
"37.0","1768341595749_1_11","WHITE","50.04","-E23","false","69.91","90.87"
"37.0","1768341595749_2_2","RED","89.86","-E23","false","69.91","90.87"
"37.0","1768341595749_3_3","RED","77.70","-E23","false","69.91","90.87"
"37.0","1768341595749_4_4","WHITE","69.54","-E23","false","69.91","90.87"
"37.0","1768341595749_5_5","RED","73.54","-E23","false","69.91","90.87"
"37.0","1768341595749_6_6","BLACK","66.26","-E23","false","69.91","90.87"
"37.0","1768341595749_7_7","BLUE","55.11","-E23","false","69.91","90.87"
"37.0","1768341595749_8_8","BLUE","56.80","-E23","false","69.91","90.87"
"37.0","1768341595749_9_9","WHITE","48.28","-E23","false","69.91","90.87"
"38.0","1768341595749_0_0","RED","69.41","-E23","false","63.66","109.04"
"38.0","1768341595749_0_10","BLUE","73.99","-E23","false","63.66","109.04"
"38.0","1768341595749_0_20","BLUE","77.70","-E23","false","63.66","109.04"
"38.0","1768341595749_0_30","RED","69.54","-E23","false","63.66","109.04"
"38.0","1768341595749_0_40","RED","61.00","-E23","false","63.66","109.04"
"38.0","1768341595749_0_50","WHITE","54.24","-E23","false","63.66","109.04"
"38.0","1768341595749_1_1","BLACK","78.50","-E23","false","63.66","109.04"
"38.0","1768341595749_1_11","WHITE","47.77","-E23","false","63.66","109.04"
"38.0","1768341595749_2_12","BLUE","36.38","-E23","false","63.66","109.04"
"38.0","1768341595749_2_2","RED","76.29","-E23","false","63.66","109.04"
"38.0","1768341595749_3_13","BLACK","38.77","-E23","false","63.66","109.04"
"38.0","1768341595749_3_3","RED","78.62","-E23","false","63.66","109.04"
"38.0","1768341595749_4_4","WHITE","71.39","-E23","false","63.66","109.04"
"38.0","1768341595749_5_5","RED","74.24","-E23","false","63.66","109.04"
"38.0","1768341595749_6_6","BLACK","70.44","-E23","false","63.66","109.04"
"38.0","1768341595749_7_7","BLUE","60.88","-E23","false","63.66","109.04"
"38.0","1768341595749_8_8","BLUE","61.41","-E23","false","63.66","109.04"
"38.0","1768341595749_9_9","WHITE","45.39","-E23","false","63.66","109.04"
"39.0","1768341595749_0_0","RED","58.35","-E23","false","56.76","127.22"
"39.0","1768341595749_0_10","BLUE","70.71","-E23","false","56.76","127.22"
"39.0","1768341595749_0_20","BLUE","68.18","-E23","false","56.76","127.22"
"39.0","1768341595749_0_30","RED","71.39","-E23","false","56.76","127.22"
"39.0","1768341595749_0_40","RED","61.41","-E23","false","56.76","127.22"
"39.0","1768341595749_0_50","WHITE","53.66","-E23","false","56.76","127.22"
"39.0","1768341595749_0_60","BLUE","46.34","-E23","false","56.76","127.22"
"39.0","1768341595749_1_1","BLACK","63.53","-E23","false","56.76","127.22"
"39.0","1768341595749_1_11","WHITE","56.05","-E23","false","56.76","127.22"
"39.0","1768341595749_2_12","BLUE","33.17","-E23","false","56.76","127.22"
"39.0","1768341595749_2_2","RED","60.09","-E23","false","56.76","127.22"
"39.0","1768341595749_3_13","BLACK","34.83","-E23","false","56.76","127.22"
"39.0","1768341595749_3_3","RED","73.93","-E23","false","56.76","127.22"
"39.0","1768341595749_4_14","RED","22.55","-E23","false","56.76","127.22"
"39.0","1768341595749_4_4","WHITE","77.19","-E23","false","56.76","127.22"
"39.0","1768341595749_5_15","BLACK","20.05","-E23","false","56.76","127.22"
"39.0","1768341595749_5_5","RED","70.90","-E23","false","56.76","127.22"
"39.0","1768341595749_6_6","BLACK","68.32","-E23","false","56.76","127.22"
"39.0","1768341595749_7_7","BLUE","65.63","-E23","false","56.76","127.22"
"39.0","1768341595749_8_8","BLUE","65.50","-E23","false","56.76","127.22"
"39.0","1768341595749_9_9","WHITE","50.14","-E23","false","56.76","127.22"
"40.0","1768341595749_0_0","RED","42.15","-E23","false","53.03","133.28"
"40.0","1768341595749_0_10","BLUE","58.77","-E23","false","53.03","133.28"
"40.0","1768341595749_0_20","BLUE","68.67","-E23","false","53.03","133.28"
"40.0","1768341595749_0_30","RED","66.73","-E23","false","53.03","133.28"
"40.0","1768341595749_0_40","RED","65.50","-E23","false","53.03","133.28"
"40.0","1768341595749_0_50","WHITE","54.62","-E23","false","53.03","133.28"
"40.0","1768341595749_0_60","BLUE","42.46","-E23","false","53.03","133.28"
"40.0","1768341595749_0_70","BLACK","33.46","-E23","false","53.03","133.28"
"40.0","1768341595749_1_1","BLACK","47.33","-E23","false","53.03","133.28"
"40.0","1768341595749_1_11","WHITE","58.56","-E23","false","53.03","133.28"
"40.0","1768341595749_2_12","BLUE","39.98","-E23","false","53.03","133.28"
"40.0","1768341595749_2_2","RED","45.60","-E23","false","53.03","133.28"
"40.0","1768341595749_3_13","BLACK","42.64","-E23","false","53.03","133.28"
"40.0","1768341595749_3_3","RED","60.49","-E23","false","53.03","133.28"
"40.0","1768341595749_4_14","RED","21.69","-E23","false","53.03","133.28"
"40.0","1768341595749_4_4","WHITE","72.91","-E23","false","53.03","133.28"
"40.0","1768341595749_5_15","BLACK","15.78","-E23","false","53.03","133.28"
